title,artist,album
Catherine Howard's Fate,Blackmore's Night,Under a Violet Moon
Ricochet (Acoustic Version),Starset,Vessels
Further Up The Road,Johnny Cash,American V: A Hundred Highways
Blanchard,Hope Sandoval & The Warm Inventions,Through the Devil Softly
Along This Road: Kono Michi (Yv),Ottmar Liebert,One Guitar
Sweet Baby James,James Taylor,Sweet Baby James
El Camino del Corazon,Acoustic Alchemy,Radio Contact
Long After You're Gone,Chris Jones,Moonstruck
American Pie,Don McLean,American Pie
The Islands,Ralph McTell,Sand in Your Shoes
Help Me,Joni Mitchell,Court and Spark
Astral Weeks,Van Morrison,Astral Weeks
Steamroller Blues,James Taylor,Live
Man in the Long Black Coat,Bob Dylan,Oh Mercy
Tears in Heaven,Eric Clapton,Rush
Paris Texas,Ry Cooder,"Paris, Texas"
Pink Moon,Nick Drake,Pink Moon
Strive,Amber Rubarth,Sessions from the 17th Ward
My Home in the Delta,Muddy Waters,Mannish Boy
Hurricane,Bob Dylan,Desire
Atlas - Live at the Fillmore,The Wood Brothers,Live at the Fillmore
Operator,Jim Croce,You Don't Mess Around with Jim
California,Joni Mitchell,Blue
Chan Chan,Buena Vista Social Club,Buena Vista Social Club
Entre dos aguas,Paco de Lucia,Fuente y Caudal
Unbroken,Gustavo Santaolalla,The Last of Us Part II (OST)
You Want It Darker,Leonard Cohen,You Want It Darker
Nutshell,Alice In Chains,MTV Unplugged
