title,artist,album
Dishonored 2 Main Theme,Daniel Licht,
Prokofiev Toccata in D minor,Yuja Wang,
Symphony No. 9,Claudio Abbado / Berliner Philharmoniker,
Symphony No. 9,Berliner Philharmoniker / Claudio Abbado,
Saint-Saëns Organ Symphony,Camille Saint-Saëns,
Cello Suite No. 1,Johann Sebastian Bach,
Urlicht (from Symphony No. 2),Nathalie Stutzmann,
Late String Quartets,Ludwig van Beethoven,
Et Incarnatus Est (from Mass in C minor),Natalie Dessay,
Impromptus,Franz Schubert,
Fantasia,Hélène Grimaud,The Messenger
Violin Concertos,Hilary Hahn / Los Angeles Chamber Orchestra,J.S. Bach: Violin Concertos
"Magnificat / Cantata No. 51 ""Jauchzet Gott""",Johann Sebastian Bach,"Bach, J.S.: Magnificat/Cantata No.51"
Pictures at an Exhibition,Herbert von Karajan,
New World Symphony (Symphony No. 9),Fritz Reiner / Chicago Symphony Orchestra,
Bach: Great Organ Works,Peter Hurford,Bach: Great Organ Works
Violin Concerto,Hilary Hahn,Schoenberg: Violin Concerto / Sibelius: Violin Concerto
Adagio/Presto (from La Cetra),Vivaldi,
Rhapsody in Blue,Andre Previn / London Symphony Orchestra,
Berlin,The Piano Guys,The Piano Guys 2
Sposa son disprezzata,Cecilia Bartoli,Arie antiche: Se tu m'ami (If You Love Me)
The Four Seasons,Anne-Sophie Mutter,Vivaldi: The Four Seasons
Rhapsody in Blue,Chicago Symphony Orchestra,Gershwin: Rhapsody in Blue
Five Variants of Dives and Lazarus,Barry Wordsworth,Vaughan Williams: Works
"Symphony No. 9 ""From the New World"" - 4th Movement",Dvořák,"Symphony No. 9 ""From the New World"""
Symphonic Dances (1st movement),Rachmaninoff,"Symphonic Dances, Op. 45"
Symphony No. 9,Mahler,Symphony No. 9
Experience,Ludovico Einaudi,In a Time Lapse
Requiem,Scottish Chamber Orchestra,Requiem / Adagio & Fugue
Prélude à l'après-midi d'un faune,Claude Debussy,
Piano Concerto No. 1,Valentina Lisitsa with the London symphony,The Piano Concertos / Paganini Rhapsody
"Symphony No. 5 in Bb, Op. 100","Herbert von Karajan, Berlin Philharmonic",
6th Symphony,"Solti, Chicago Symphony Orchestra",Symphony No. 6 / Lieder eines fahrenden Gesellen
Reflets dans l'eau,Claude Debussy,"Images, Book 1"
Variations on the Kanon by Pachelbel,George Winston,December
Going to School,John Williams & Yo-Yo Ma,Memoirs of a Geisha (Original Motion Picture Soundtrack)
Appalachia Waltz (version for Solo Cello),Yo-Yo Ma,Solo
Also sprach Zarathustra,"Leonard Slatkin, Lyons National Orchestra",
"Beethoven Symphony No. 3, 3rd movement Scherzo","Claudio Abbado, Berlin Philharmonic",
"Beethoven Piano Sonata No. 32, Op. 111, 2nd movement Arietta",Sviatoslav Richter,
Holst The Planets,"Simon Rattle, Berliner Philharmoniker",
Mahler Symphony 5,"Minnesota Orchestra, Osmo Vanska",
Ecstasy of Gold,Yo Yo Ma Plays Ennio Morricone,Yo-Yo Ma Plays Ennio Morricone
Also Sprach Zarathustra,Berliner Philharmoniker,"Also sprach Zarathustra, Op. 30"
Clair de Lune,Menahem Pressler,Suite bergamasque
"Vesper Mass, Op. 44: 2. Blessed is the Man",Teach Me Thy Statutes,Teach Me Thy Statutes
Also Sprach Zarathustra,Jorge Mester & Pasadena Symphony Orchestra,"Strauss: Also Sprach Zarathustra! / Saint-Saëns: Symphony no. 3 (""Organ"")"
1812 Overture,Tchaikovsky,"1812 Overture, Op. 49"
Dance of the Knights,Sergei Prokofiev,"Romeo and Juliet, Op. 64"
Dove sono i bei momenti,Renée Fleming,Signatures ~ Great Opera Scenes
"Piano Sonata No. 30 In E, Op.109",Beethoven,Beethoven: The Complete Piano Sonatas
