title,artist,album
Impossible Obstacle,DJ QBert,GalaXXXian
Robot Rock,Daft Punk,Human After All
Safe From Harm,Massive Attack,Blue Lines
Kill V. Maim,Grimes,Art Angels
Frequenzfett,Boris Brejcha,"Feuerfalter, Part 01"
Ghost,Claptone,Ghost
Bump,Yosi Horikawa,Vapor
Elegia,New Order,Low Life
L'incertitude d'Heisenberg,Telepopmusik,Genetic World
Solar Sailer,Daft Punk,TRON: Legacy
Doin' It Right,Daft Punk,Random Access Memories
If You Hadn't,KOAN Sound,Sanctuary EP
This Time Around,KOAN Sound,Sanctuary EP
Teardrop,Massive Attack,Mezzanine
The Perfect Drug,Nine Inch Nails,Lost Highway Soundtrack
Old Site,Lena Raine,Celeste: B-Sides
Why So Serious,Hans Zimmer,The Dark Knight: Original Motion Picture Soundtrack
Bubbles,Yosi Horikawa,Vapor
Sola Sistim,Underworld,A Hundred Days Off
Georgio by Moroder,Daft Punk,Random Access Memories
Limit to Your Love,James Blake,James Blake
