title,artist,album
Cantaloupe Island,Herbie Hancock,Dedication
Watermelon Man,Herbie Hancock,Head Hunters
Moanin',Art Blakey,Moanin'
The Sidewinder,Lee Morgan,The Sidewinder
Cool Struttin',Sonny Clark,Cool Struttin'
Soul Station,Hank Mobley,Soul Station
Sugar,Stanley Turrentine,Sugar
Shiny Stockings,Dexter Gordon,Gettin' Around
Teen Town,Weather Report,Heavy Weather
Window,GoGo Penguin,A Humdrum Star
Blue Maqams,Anouar Brahem,Blue Maqams
Oslo,Mathias Eick,Skala
Uptown East,Special EFX,Spice of Life
Take A Quick Break,"Bugge Wesseltoft, Henrik Schwarz, Dan Berglund",Trialogue
Strasbourg St Denis,Roy Hargrove,Earfood
A Case of You,Diana Krall,Live in Paris
Almost Blue,Diana Krall,The Girl in the Other Room
Alone Together,Chet Baker,Chet
Night and Day,Joe Pass,Virtuoso
St. Louis Gal,Cécile McLorin Salvant,Woman Child
A Little Warm Death,Cassandra Wilson,New Moon Daughter
Abraham's New Gift,Phronesis,Green Delay
Elephants On Ice Skates,Brian Bromberg,It Is What It Is
So What,Miles Davis,Kind of Blue
Fidgety Feet,Bobby Hackett,Creole Cookin'
As You Are But Not As You Were,Snarky Puppy,Somni
Flight,Snarky Puppy,Sylva
I Know You Know,Esperanza Spalding,Esperanza
Me and My Bass Guitar,Victor Wooten,A Show of Hands
Disco Ulysses,Vulfpeck,Hill Climber
Aja,Steely Dan,Aja
St James Infirmary,Hugh Laurie,Let Them Talk
Black Cow,Steely Dan,Aja
Sabor A Mi,Kenny G,Rhythm & Romance
Flight of the Cosmic Hippo,Béla Fleck,Flight of the Cosmic Hippo
Come Home,New York Voices,New York Voices
Blue in Green,Miles Davis,Kind of Blue
Blackened Cities,Melanie De Biasio,Blackened Cities (EP)
The Music That Makes Me Dance,Shirley Horn,You Won't Forget Me
Never Too Far,Dianne Reeves,Never Too Far
Boss City,Lee Ritenour,Wes Bound
Dragonfly Summer,Michael Franks,Dragonfly Summer
What a Little Moonlight Can Do,Molly Johnson,
Under Pressure,Leslie Odom Jr.,
Beat,Tingvall Trio,Beat
New New Orleans,Christian Scott,Christian aTunde Adjuah
Crazy Rhythm,Tony Bennett,The Beat Of My Heart
Without A Song,Sonny Rollins,Without a Song: The 9/11 Concert
Small Town,Bill Frisell and Thomas Morgan,Small Town
Little Person,Michael Wollny Trio,Weltentraum
Love Will Find a Way,Jeff Cascaro,Soul of a Singer
Blue Train,John Coltrane,Blue Train
Take Five,Dave Brubeck Quartet,Time Out
We've Just Begun,Sinne Eeg,We've Just Begun
C Jam Blues,Oscar Peterson,Night Train
Sinnerman,Nina Simone,Pastel Blues
Semente,Snarky Puppy,Culcha Vulcha
