title,artist,album
Slide Tackle,Japanese Breakfast,Jubilee
Walker,Fitz and the Tantrums,More Than Just a Dream
Uptown Funk,Mark Ronson,Uptown Special
Stupid Love,Lady Gaga,Chromatica
Unchained Melody,Air Supply,Greatest Hits Live ... Now and Forever
Into Temptation,Crowded House,Temple of Low Men
Here Where the Story Ends,The Sundays,"Reading, Writing and Arithmetic"
Dreams,Fleetwood Mac,Rumours
Video Games,Lana Del Rey,Born to Die
Englishman in New York,Sting,...Nothing Like the Sun
Mercy Street,Peter Gabriel,So
Waiting on the World to Change,John Mayer,Continuum
Rosanna,TOTO,Toto IV
Tailwhip,Men I Trust,Oncle Jazz
Get Lucky,Daft Punk,Random Access Memories
Rolling in the Deep,Adele,21
Royals,Lorde,Pure Heroine
Don't Start Now,Dua Lipa,Future Nostalgia
The Chain,Fleetwood Mac,Rumours
Change the World,Eric Clapton,Phenomenon (soundtrack)
Diamonds on the Soles of Her Shoes,Paul Simon,Graceland
Superman's Song,Crash Test Dummies,The Ghosts That Haunt Me
Scared,KimYeji,
Hello,Adele,25
Billie Jean,Michael Jackson,Thriller
Sir Duke,Stevie Wonder,Songs in the Key of Life
Superstar,Carpenters,Carpenters
Lark,Angel Olsen,All Mirrors
Addicted,Dan Seals,The Very Best Of Dan Seals
