title,artist,album
Comfortably Numb,Pink Floyd,The Wall
Rooster,Alice In Chains,Dirt
Dirty Laundry,Don Henley,I Can't Stand Still
Face to Face,Pete Townshend,Empty Glass
Pneuma,Tool,Fear Inoculum
Bohemian Rhapsody,Queen,A Night at the Opera
Seven Bridges Road,Eagles,Eagles Live
The Poet and the Pendulum,Nightwish,Dark Passion Play
Wish You Were Here,Pink Floyd,Wish You Were Here
Black Moon Rising,Black Pumas,Black Pumas
High Water Everywhere,Joe Bonamassa,Live from Nowhere in Particular
All the Small Things,Blink-182,Enema of the State
Far Beyond the Days of Grace,The Sorrow,Blessings from a Blackened Sky
Sons of Winter and Stars,Wintersun,Time I
Weird Fishes,Radiohead,In Rainbows
Human,Human Traces,
Ghost,All Systems Red,
Cousin Dupree,Steely Dan,Two Against Nature
Time,Pink Floyd,The Dark Side of the Moon
Sultans of Swing,Dire Straits,Dire Straits
Money for Nothing,Dire Straits,Brothers in Arms
Subterranean Homesick Alien,Radiohead,OK Computer
Dogs,Pink Floyd,Animals
I Wanna Be Your Dog,The Stooges,Gimme Danger (Soundtrack)
Cortez the Killer,Neil Young,Zuma
Hotel California,Eagles,Hotel California (2013 Remaster)
Brothers in Arms,Dire Straits,Brothers in Arms
When the Levee Breaks,Led Zeppelin,Led Zeppelin IV
Knights of Cydonia,Muse,Black Holes and Revelations
