title,artist,album
1812 Overture,Tchaikovsky,"1812 Overture, Op. 49"
Holst The Planets,"Simon Rattle, Berliner Philharmoniker",
6th Symphony,"Solti, Chicago Symphony Orchestra",Symphony No. 6 / Lieder eines fahrenden Gesellen
Why So Serious,Hans Zimmer,The Dark Knight: Original Motion Picture Soundtrack
Bump,Yosi Horikawa,Vapor
The Poet and the Pendulum,Nightwish,Dark Passion Play
Flight,Snarky Puppy,Sylva
Sons of Winter and Stars,Wintersun,Time I
Me and My Bass Guitar,Victor Wooten,A Show of Hands
Elephants On Ice Skates,Brian Bromberg,It Is What It Is
