title,artist,album
Autumn Leaves (Live at Blues Alley),Eva Cassidy,Live at Blues Alley
A Case of You,Diana Krall,Live in Paris
"Vesper Mass, Op. 44: 2. Blessed is the Man",Teach Me Thy Statutes,Teach Me Thy Statutes
Toward the Within,Dead Can Dance,Toward the Within
Nutshell,Alice In Chains,MTV Unplugged
Sposa son disprezzata,Cecilia Bartoli,Arie antiche: Se tu m'ami (If You Love Me)
Atlas - Live at the Fillmore,The Wood Brothers,Live at the Fillmore
Down to the River to Pray,Alison Krauss,"O Brother, Where Art Thou?"
Spanish Harlem,Rebecca Pidgeon,The Raven
Holst The Planets,"Simon Rattle, Berliner Philharmoniker",
