title,artist,album
Homeland,Celtic Woman,Ancient Land
The Tower,Aleah,Aleah
My Jolly Sailor Bold,Ashley Serena,
I'll Be Around,The Spinners,Spinners
Lean On Me,Bill Withers,Still Bill
Hey Now,London Grammar,If You Wait
California Dreamin',Scala & Kolacny Brothers,Circle
Everything Matters,AURORA,The Gods We Can Touch
Perfect Day,Lou Reed,Transformer
Cry Me A River,Dinah Washington,What a Diff'rence a Day Makes!
"Cold, Cold Heart",Norah Jones,Come Away With Me
Just a Little Lovin',Shelby Lynne,Just A Little Lovin'
Just Walk Away Renée,Rickie Lee Jones,Girl at Her Volcano
Down to the River to Pray,Alison Krauss,"O Brother, Where Art Thou?"
Trøllabundin,Eivør,Eivor
A Thousand Beautiful Things,Annie Lennox,Bare
Way Down Deep,Jennifer Warnes,The Hunter
Song of Durin,Clamavi de Profundis,Song of Durin
Beautiful Love,Shirley Horn,You Won't Forget Me
Don't Lose Your Steam,Gregory Porter,Take Me to the Alley
Nobody Knows the Trouble I've Seen,Sam Cooke,Night Beat
The Look of Love,Diana Krall,The Look of Love
Come Away With Me,Norah Jones,Come Away With Me
Chuck E's in Love,Rickie Lee Jones,Rickie Lee Jones
The Sweetest Taboo,Sade,Promise
Jersey Girl,Holly Cole,Temptation
Don't Know Why,Norah Jones,Come Away with Me
Sara Smile,Hall & Oates,Daryl Hall & John Oates
Tom's Diner,Suzanne Vega,Solitude Standing
Can't We Be Friends,Ella Fitzgerald & Louis Armstrong,Ella and Louis
Toward the Within,Dead Can Dance,Toward the Within
Nos Jours,Salomé Leclerc,Sous les arbres
So Far Away and So Near,Erutan,Raindancer
Siúil a Rún,Celtic Woman,Celtic Woman
Forget About It,Alison Krauss,Forget About It
Fukurou,Kokia,tontonton -どうぶつの音楽会-
The Lion The Beast The Beat,Grace Potter and The Nocturnals,The Lion The Beast The Beat
Spanish Harlem,Rebecca Pidgeon,The Raven
Lover You Should Have Come Over,Jeff Buckley,Grace
Come Fly with Me,Frank Sinatra,Come Fly with Me
Ashes,Celine Dion,Deadpool 2 (Original Motion Picture Soundtrack)
Rainy Days and Mondays,Carpenters,Carpenters
Baby I’m A Fool,Melody Gardot,My One And Only Thrill
Autumn Leaves (Live at Blues Alley),Eva Cassidy,Live at Blues Alley
Just One of Those Things,Patricia Barber,The Cole Porter Mix
Midnight at the Oasis,Renee Olstead,Renee Olstead
When I Fall in Love,Michael Buble,Love
La Vie en Rose,Michael Buble,Love
No Ordinary Love,Sade,Love Deluxe
Skylark,Cassandra Wilson,New Moon Daughter
Bird on a Wire,Jennifer Warnes,Famous Blue Raincoat
I Can See Clearly Now,Holly Cole,Don't Smoke in Bed
When You Believe,Mariah Carey,The Prince of Egypt
Code Cool,Patricia Barber,Smash
Ain't No Sunshine,Bill Withers,Just As I Am
